upd,baseline_mean,baseline_std,oca_mean,oca_std,dpr_mean,dpr_std
10,-19.333,1.041,-21.667,0.764,-17.667,0.577
20,-20.583,1.909,-21.083,1.010,-17.917,1.127
30,-20.500,1.095,-21.667,0.879,-18.390,0.975
40,-20.167,1.377,-20.710,0.691,-18.957,0.641
50,-19.727,1.103,-20.123,0.832,-19.007,1.024
60,-20.327,0.957,-19.807,1.168,-19.007,0.395
70,-20.147,1.288,-19.793,1.581,-19.200,0.056
80,-19.943,1.160,-19.740,1.381,-18.887,0.879
90,-19.537,0.987,-19.903,1.476,-19.380,0.556
100,-19.577,1.016,-19.877,1.494,-19.323,0.532
110,-19.750,0.832,-19.703,1.453,-18.943,0.550
120,-19.477,0.742,-19.790,1.252,-19.070,0.658
130,-19.557,0.595,-19.607,1.176,-19.117,0.719
140,-19.617,0.513,-19.487,0.994,-19.207,0.552
150,-19.587,0.341,-19.277,0.854,-19.303,0.705
160,-19.590,0.315,-19.347,0.724,-19.453,0.622
170,-19.450,0.290,-19.420,0.688,-19.520,0.708
180,-19.507,0.398,-19.540,0.746,-19.510,0.701
190,-19.563,0.490,-19.643,0.662,-19.497,0.687
200,-19.563,0.490,-19.573,0.729,-19.433,0.626
210,-19.563,0.490,-19.620,0.707,-19.343,0.566
220,-19.563,0.490,-19.667,0.694,-19.297,0.550
230,-19.563,0.490,-19.667,0.694,-19.263,0.545
240,-19.563,0.490,-19.667,0.694,-19.263,0.545
250,-19.563,0.490,-19.667,0.694,-19.263,0.545
260,-19.563,0.490,-19.667,0.694,-19.263,0.545
270,-19.563,0.490,-19.667,0.694,-19.263,0.545
280,-19.563,0.490,-19.667,0.694,-19.263,0.545
290,-19.563,0.490,-19.667,0.694,-19.263,0.545
300,-19.563,0.490,-19.667,0.694,-19.263,0.545
310,-19.563,0.490,-19.667,0.694,-19.263,0.545
320,-19.563,0.490,-19.667,0.694,-19.263,0.545
